panel,model_year,engine_family,carryover_family,lineage_root,lineage_depth
nonroad,2014,ECEXL13.0AAA,,ECEXL13.0AAA,0
nonroad,2014,EVSXL12.8T4F,,EVSXL12.8T4F,0
nonroad,2014,ECEXL60.0AAA,DCEXL60.0AAA,DCEXL60.0AAA,1
nonroad,2014,EDICL05.8HTB,CDICL05.8HTB,CDICL05.8HTB,1
nonroad,2013,DYDXL1.50L3T,CYDXL1.50K3T,CYDXL1.50K3T,1
nonroad,2013,DYDXL2.00L4T,CYDXL2.00N4T,CYDXL2.00N4T,1
nonroad,2013,DCPXL18.1NYS,CCPXL18.1NYS,CCPXL18.1NYS,1
nonroad,2013,DVPXL16.1CDA,CVPXL16.1CDA,CVPXL16.1CDA,1
nonroad,2014,EKBXL.325KCB,DKBXL.325KCB,DKBXL.325KCB,1
nonroad,2013,DKBXL.719KCB,,DKBXL.719KCB,0
nonroad,2014,EPKXL06.6PJ1,DPKXL06.6PJ1,CPKXL06.6PJ1,2
nonroad,2013,DPKXL18.1TAG,,DPKXL18.1TAG,0
nonroad,2013,DCPXL15.2HZA,CCPXL15.2HZA,CCPXL15.2HZA,1
nonroad,2013,DCPXL18.1HZA,CCPXL18.1HZA,CCPXL18.1HZA,1
nonroad,2013,DLHAL7.01SZC,CLHAL7.01SZC,CLHAL7.01SZC,1
nonroad,2014,EH3XL1.13SLC,DH3XL1.13SLC,CH3XL1.13SLC,2
nonroad,2014,EH3XL1.49N3C,DH3XL1.49N3C,CH3XL1.49N3C,2
nonroad,2013,DKBXL02.6END,,DKBXL02.6END,0
nonroad,2014,EKBXL03.3BCC,CKBXL03.3BCC,CKBXL03.3BCC,1
nonroad,2012,CCPXL18.1NZS,BCPXL18.1NZS,CCPXL18.1NZS,0
nonroad,2013,DCPXL15.2NYS,CCPXL15.2NYS,CCPXL15.2NYS,1
nonroad,2014,EKBXL03.8AKD,CKBXL03.8AKD,CKBXL03.8AKD,1
nonroad,2013,DMMLL02.7M40,,DMMLL02.7M40,0
nonroad,2014,EICLL1.12B3X,DICLL1.12B3X,DICLL1.12B3X,1
nonroad,2014,EYDXL0.99NUA,DYDXL0.99NUA,DYDXL0.99NUA,1
nonroad,2014,EJCBL04.4TA9,DJCBL04.4TA9,DJCBL04.4TA9,1
nonroad,2014,ECPXL15.2NYS,DCPXL15.2NYS,CCPXL15.2NYS,2
nonroad,2013,DDZXL02.9016,,DDZXL02.9016,0
nonroad,2014,EMMLL02.7C40,DMMLL02.7C40,DMMLL02.7C40,1
nonroad,2013,DCPXL15.2HTF,,DCPXL15.2HTF,0
nonroad,2014,EDZXL07.8046,,EDZXL07.8046,0
nonroad,2013,DCPXL27.0HXF,CCPXL27.0HXA,CCPXL27.0HXA,1
nonroad,2015,FYDXL0.99NWA,DYDXL0.99NWA,DYDXL0.99NWA,1
nonroad,2015,FYDXL1.27NWA,DYDXL1.27NWA,DYDXL1.27NWA,1
nonroad,2014,EKLXL06.7AAM,,EKLXL06.7AAM,0
nonroad,2014,EH3XL2.22NLT,DH3XL2.22NLT,CH3XL2.22NLT,2
nonroad,2014,EH3XL2.22N4T,DH3XL2.22N4T,CH3XL2.22N4T,2
nonroad,2014,EDZXL04.1013,DDZXL04.1013,CDZXL04.1013,2
nonroad,2014,EMVXL65.4BBB,8MVXL65.4BBB,EMVXL65.4BBB,0
nonroad,2013,DCPXL18.1NZS,CCPXL18.1NZS,CCPXL18.1NZS,1
nonroad,2014,EJDXL09.0114,CJDXL09.0114,CJDXL09.0114,1
nonroad,2014,EHZXL.517M51,DHZXL.517V52,DHZXL.517V52,1
nonroad,2014,ECPXL08.8NZS,DCPXL08.8NZS,CCPXL08.8NZS,2
nonroad,2014,EDZXL04.8029,DDZXL04.8029,CDZXL04.8029,2
nonroad,2014,EDZXL07.1026,DDZXL07.1026,CDZXL07.1026,2
nonroad,2013,DPKXL7.01BL1,CPKXL7.01BL1,CPKXL7.01BL1,1
nonroad,2014,EY9XL16.4DBA,,EY9XL16.4DBA,0
nonroad,2014,EKMCL1.72AN3,,EKMCL1.72AN3,0
nonroad,2014,EH3XL2.22TF3,DH3XL2.22TF3,DH3XL2.22TF3,1
nonroad,2015,FFPXL04.5DTD,EFPXL04.5DTD,CFPXL04.5DTD,3
nonroad,2015,FFPXL08.7TR3,EFPXL08.7TR3,CFPXL08.7TR3,3
nonroad,2015,FFPXL03.4CDC,EFPXL03.4CDC,DFPXL03.4CDC,2
nonroad,2014,EYDXL1.64NGA,,EYDXL1.64NGA,0
nonroad,2014,EY9XL09.3DAA,,EY9XL09.3DAA,0
nonroad,2014,EMVXL49.0BBA,,EMVXL49.0BBA,0
nonroad,2014,EH3XL2.22CN3,,EH3XL2.22CN3,0
nonroad,2014,EH3XL2.22CN4,,EH3XL2.22CN4,0
nonroad,2014,EDICL01.8LEA,,EDICL01.8LEA,0
nonroad,2015,FKLXL06.7AAM,EKLXL06.7AAM,EKLXL06.7AAM,1
nonroad,2015,FCPXL15.2NYS,ECPXL15.2NYS,CCPXL15.2NYS,3
nonroad,2015,FPKXL04.4NM1,EPKXL04.4NM1,CPKXL04.4NM1,3
nonroad,2015,FPKXL04.4NL1,EPKXL04.4NL1,CPKXL04.4NL1,3
nonroad,2015,FPKXL04.4NJ1,EPKXL04.4NJ1,CPKXL04.4NJ1,3
nonroad,2015,FPKXL04.4NH1,EPKXL04.4NH1,CPKXL04.4NH1,3
nonroad,2015,FFPXL08.7CLA,,FFPXL08.7CLA,0
nonroad,2015,FJDXL02.9121,DJDXL02.9121,DJDXL02.9121,1
nonroad,2015,FH3XL2.22L84,EH3XL2.22L84,CH3XL2.22L84,3
nonroad,2015,FH3XL2.22N4T,EH3XL2.22N4T,CH3XL2.22N4T,3
nonroad,2015,FH3XL1.49F2C,EH3XL1.49F2C,DH3XL1.49F2C,2
nonroad,2014,EJDXL02.9121,DJDXL02.9121,DJDXL02.9121,1
nonroad,2014,EMVXL02.2AAA,,EMVXL02.2AAA,0
nonroad,2015,FTIEL03.01KD,ETIEL03.01KD,ETIEL03.01KD,1
nonroad,2015,FFPXL03.4FSD,EFPXL03.4FSD,EFPXL03.4FSD,1
nonroad,2015,FKHXL.34935D,EKHXL.34935D,EKHXL.34935D,1
nonroad,2015,FKHXL1.259LD,EKHXL1.259LD,EKHXL1.259LD,1
nonroad,2015,FKHXL2.48ESM,EKHXL2.48ESM,EKHXL2.48ESM,1
nonroad,2014,ECPXL18.1HZA,DCPXL18.1HZA,CCPXL18.1HZA,2
nonroad,2014,ECPXL18.1HXF,DCPXL18.1HXF,CCPXL18.1HXA,2
nonroad,2015,FMMLL02.7C42,EMMLL02.7C42,EMMLL02.7C42,1
nonroad,2015,FMMLL02.7C40,DMMLL02.7C40,DMMLL02.7C40,1
nonroad,2015,FVPXL16.1ADA,EVPXL16.1ADA,CVPXL16.1ADA,3
nonroad,2015,FVPXL16.1ACG,EVPXL16.1ACG,CVPXL16.1ACG,3
nonroad,2015,FKBXL.719KCB,DKBXL.719KCB,DKBXL.719KCB,1
nonroad,2015,FKBXL.898KCB,DKBXL.898KCB,DKBXL.898KCB,1
nonroad,2015,FKBXL01.5BCC,DKBXL01.5BCC,DKBXL01.5BCC,1
nonroad,2016,GKBXL01.1DCB,DKBXL01.1DCB,DKBXL01.1DCB,1
nonroad,2014,EJDXL09.0301,,EJDXL09.0301,0
nonroad,2014,EJCBL04.4TA5,DJCBL04.4TA5,DJCBL04.4TA5,1
nonroad,2015,FKMCL1.17A33,DKMCL1.17A33,DKMCL1.17A33,1
nonroad,2015,FFPXL03.4ESD,EFPXL03.4ESD,EFPXL03.4ESD,1
nonroad,2015,FPKXL06.6PJ2,EPKXL06.6PJ2,CPKXL06.6PJ2,3
nonroad,2014,EH3XL2.22TDI,DH3XL2.22TDI,DH3XL2.22TDI,1
nonroad,2014,EMDDL57.2XTC,,EMDDL57.2XTC,0
nonroad,2015,FKBXL02.6END,DKBXL02.6END,DKBXL02.6END,1
nonroad,2015,FYDXL2.09HDA,DYDXL2.09HDA,DYDXL2.09HDA,1
nonroad,2015,FYDXL3.32NDB,DYDXL3.32NDA,DYDXL3.32NDA,1
nonroad,2014,EVPXL10.8CJA,,EVPXL10.8CJA,0
nonroad,2015,FHZXL.997M40,EHZXL.997M40,DHZXL.997V41,2
nonroad,2014,ECPXL09.3HPA,,ECPXL09.3HPA,0
nonroad,2015,FDCLL02.4F7T,DDCLL02.4F7T,DDCLL02.4F7T,1
nonroad,2015,FMVXL03.3AAJ,7MVXL03.3AAC,FMVXL03.3AAJ,0
nonroad,2014,ECPXL27.0HZA,DCPXL27.0HZA,CCPXL27.0HZA,2
nonroad,2014,ECPXL27.0HXF,DCPXL27.0HXF,CCPXL27.0HXA,2
nonroad,2014,EYDXL1.57TDA,DYDXL1.57TDA,DYDXL1.57TDA,1
nonroad,2015,FDCLL01.8F7D,,FDCLL01.8F7D,0
nonroad,2015,FMBXL04.8RJC,,FMBXL04.8RJC,0
nonroad,2015,FDZXL03.6018,EDZXL03.6018,EDZXL03.6018,1
nonroad,2015,FFPXL03.4ADD,,FFPXL03.4ADD,0
nonroad,2015,FCPXL18.1NYS,ECPXL18.1NYS,CCPXL18.1NYS,3
nonroad,2015,FKMCL1.72A31,,FKMCL1.72A31,0
nonroad,2015,FKHXL2.48EST,,FKHXL2.48EST,0
