panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,units,fel,standard,adj_result,fcl
nonroad,2012,CMVXL24.5BBA,S6R-Y2PTAW-1,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2013,DJDXL06.8106,4045HF285B,,NMHC,steady_state,0.18,g/kW-hr,,,,
nonroad,2012,CVWXL02.0CPY,CPYA,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2013,DH3XL2.22L84,N844L-D,,NMHC,steady_state,0.32,g/kW-hr,,,,
nonroad,2014,EKBXL01.1DCB,D1105-EF01,,NMHC,steady_state,0.33,g/kW-hr,,,,
nonroad,2012,CCPXL27.0HXA,Cert Test 2,,NMHC,steady_state,0.04,g/kW-hr,,,,
nonroad,2012,CCPXL32.0HXA,Cert Test 1,,NMHC,steady_state,0.04,g/kW-hr,,,,
nonroad,2012,CDZXL03.1041,"C3OI23,5",,NMHC,steady_state,0.69,g/kW-hr,,,,
nonroad,2013,DICLL1.12B3X,6285-885-308-**,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2012,CCPXL12.5HPB,Cert Test 1,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2012,CCPXL15.2HPA,Cert Test 1,,NMHC,steady_state,0.06,g/kW-hr,,,,
nonroad,2012,CCPXL12.5HPA,Cert Test 2,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2013,DJDXL02.9121,3029TFG80A,,NMHC,steady_state,0.69,g/kW-hr,,,,
nonroad,2012,CCPXL15.2ESJ,Cert Test 1,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2012,CCPXL08.8NZS,Cert Test 1,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2013,DMBXL07.2RJB,OM926 LA.E3B/1,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DYDXL1.64NDA,,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2013,DKBXL03.8CKD,V3800-CR-T-EF01,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DKMCL2.28A47,,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2013,DMVXL33.9BBA,S12A2-Y2PTAW-2,,NMHC,steady_state,0.27,g/kW-hr,,,,
nonroad,2013,DJDXL06.8105,4045H,,NMHC,steady_state,0.14,g/kW-hr,,,,
nonroad,2013,DNFXL03.0DD1,ZD30K01N,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2013,DKMCL1.17A33,,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2013,DKMCL1.17A33,,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2013,DKMCL1.17A33,,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2013,DKMCL1.17A33,,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2013,DDZXL04.8024,C4SI129,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2013,DKHXL.442155,,,NMHC,steady_state,1.34,g/kW-hr,,,,
nonroad,2013,DMVXL01.0EEE,L3E-GENE,,NMHC,steady_state,0.75,g/kW-hr,,,,
nonroad,2013,DDZXL02.9020,C4DI55C,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DDCLL01.8F7T,4318/2600,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2014,ESIDL03.3G7A,1,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2013,DMVXL03.3GGG,D04EG-74kW-1,,NMHC,steady_state,0.07,g/kW-hr,,,,
nonroad,2013,DHZXL.445V43,ts-D42-3000,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2014,EKLXL23.2FD5,2G06,,NMHC,steady_state,0.33,g/kW-hr,,,,
nonroad,2014,EKLXL23.2FD5,2C01,,NMHC,steady_state,0.3,g/kW-hr,,,,
nonroad,2014,ECEXL023.AAB,CPL2621FR50047,,NMHC,steady_state,0.44,g/kW-hr,,,,
nonroad,2013,DMMLL02.7NEF,VNE343,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2014,EJDXL02.9216,3029TPY24,,NMHC,steady_state,0.42,g/kW-hr,,,,
nonroad,2014,EKHXL.34935D,,,NMHC,steady_state,1.47,g/kW-hr,,,,
nonroad,2013,DMMLL02.7C49,CE-49,,NMHC,steady_state,0.28,g/kW-hr,,,,
nonroad,2013,DCPXL08.8NZS,CERT TEST 2,,NMHC,steady_state,0.27,g/kW-hr,,,,
nonroad,2013,DCPXL08.8NZS,CERT TEST 1,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2014,EVPXL16.1ACB,1,,NMHC,steady_state,0.2,g/kW-hr,,,,
nonroad,2013,DPKXL06.6PJ2,1,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2014,ECEXL13.0AAA,3836:FR20454,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2014,EVSXL12.8T4F,13-42,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2014,ECEXL60.0AAA,3915:FR6961,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2014,EDICL05.8HTB,DL06-LDL01,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2013,DCPXL18.1NYS,CERT TEST 1,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2013,DVPXL16.1CDA,1,,NMHC,steady_state,0.04,g/kW-hr,,,,
nonroad,2013,DKBXL.719KCB,Z482-EF01,,NMHC,steady_state,0.34,g/kW-hr,,,,
nonroad,2014,EPKXL06.6PJ1,1,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2013,DPKXL18.1TAG,1,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2013,DCPXL15.2HZA,CERT TEST 1,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2013,DCPXL18.1HZA,CERT TEST 1,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2014,EH3XL1.13SLC,403D-11,,NMHC,steady_state,0.61,g/kW-hr,,,,
nonroad,2014,EH3XL1.49N3C,403D-15,,NMHC,steady_state,0.36,g/kW-hr,,,,
nonroad,2013,DKBXL02.6END,V2607-CR-EF01,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2012,CCPXL18.1NZS,Cert Test 1,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2013,DCPXL15.2NYS,CERT TEST 1,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2013,DMMLL02.7M40,UT-48,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2014,EICLL1.12B3X,6285-885-308-**,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2014,ECPXL15.2NYS,CERT TEST 1,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2013,DDZXL02.9016,C4DI55C,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2014,EMMLL02.7C40,CE-40,,NMHC,steady_state,0.34,g/kW-hr,,,,
nonroad,2013,DCPXL15.2HTF,CERT TEST 1,,NMHC,steady_state,0.05,g/kW-hr,,,,
nonroad,2014,EDZXL07.8046,CFVI210,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2014,EDZXL07.8046,CFVI210,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DCPXL27.0HXF,CERT TEST 1,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2014,EKLXL06.7AAM,4958:FR5C01,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2014,EKLXL06.7AAM,4958:FR94557,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2014,EH3XL2.22NLT,404D-22T,,NMHC,steady_state,0.13,g/kW-hr,,,,
