panel,model_year,engine_family,engine_model,engine_code,displacement_l,certification_fuel,engine_operation,test_procedure,test_procedure_type
nonroad,2012,CCPXL15.2HPA,C15,Cert Test 1,15.200000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CCPXL12.5HPA,C13,Cert Test 2,12.5,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DJDXL02.9121,3029T,3029TFG80A,2.94,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCPXL15.2ESJ,C15,Cert Test 1,15.200000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCPXL08.8NZS,C9,Cert Test 1,8.8,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DMBXL07.2RJB,BMBXL07.2RJB,OM926 LA.E3B/1,7.2010000000000005,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DYDXL1.64NDA,4KNDPC,,1.6420000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DKBXL03.8CKD,V3800-CR-T-EF,V3800-CR-T-EF01,3.77,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DKBXL06.1AMD,,,,,,,
nonroad,2013,DKMCL2.28A47,A2300T-Gen,,2.287,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DMVXL33.9BBA,S12A2-PTAW,S12A2-Y2PTAW-2,33.93,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DJDXL06.8105,4045HF285A,4045H,4.5,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
